Element,Count
sql,41
data analysis,36
python,32
data analyst,21
analytical,20
data mining,19
data management,18
excel,18
tableau,16
data science,13
data analytics,12
machine learning,11
analytics,10
communication,10
ms office,9
powerpoint,9
sql server,8
word,8
celonis,7
data modeling,7
process mining,7
it skills,7
r,7
 sql,7
data engineering,7
 analytics,7
nosql,6
time series analysis,6
data processing,6
health insurance,6
spark,6
excel powerpoint,6
 r,6
c++,6
computer science,6
mis reporting,5
pl / sql,5
elastic search,5
opencv,5
advanced excel,5
artificial intelligence,5
machine - learning,5
report preparation,5
report generation,5
technical reports,5
excel sheet,5
export import,5
data scientist,5
quality reporting,4
advance excel,4
written,4
looker,4
oral communication,4
projects,4
economic analysis,4
python data analytics,4
factor analysis,4
analysis,4
sql scripting,4
visio,4
minitab,3
data governance,3
etl,3
data review,3
sae reconciliation,3
coding,3
verbal,3
clinical data management,3
hlookup,3
data extraction,3
application development,3
c,3
front office,3
spss statistics,3
consulting bfsi,3
vba,3
rest api,3
windows os,3
apis,3
rest,3
dockers,3
statistics,3
consulting,3
javascript,3
banking domain,2
communication skills,2
php,2
database design,2
datastage,2
teradata,2
ssis,2
ab initio,2
unit testing,2
business intelligence,2
kibana,2
.net core,2
software development,2
logstash,2
linux,2
beats,2
informatica,2
stored procedures,2
automation,2
agile,2
pentaho,2
k - means,2
svm,2
knn,2
scikit,2
ml,2
waterfall,2
predictive analytics,2
ssrs,2
scheduling,2
data modelling,2
statistical analysis tool,2
planning analyst,2
microsoft power bi,2
customer service,2
analytical skills,2
data quality,2
logits,2
qlikview,2
hadoop,2
access,2
pyspark,2
econometrics,2
econometric tools- linear regressions,2
digital marketing,2
randomised control trials,2
field operations,2
back office,2
crm,2
java,2
metadata,2
sas,2
mining,2
image processing,2
dsl,2
stata,2
operations,2
distribution system,2
cloud computing,2
acl,1
power query,1
relational databases design,1
sql script,1
data studio,1
accounting,1
bi reporting,1
monitoring,1
web crawling,1
licensing,1
outsourcing,1
selenium,1
alteryx,1
statistical model building,1
it services,1
incident management,1
ga4,1
sql query writing,1
stored procedure development,1
oracle plsql,1
adobe tableau,1
performance tuning,1
query tuning,1
cloud,1
redshift,1
gtm tagging,1
vmware,1
information security,1
ssh,1
etl tool,1
http,1
 churn,1
data warehouse,1
snowflake,1
statistical analysis,1
healthcare,1
big data,1
science,1
universal analytics,1
data entry,1
sql database,1
msql,1
hive,1
vb,1
claims,1
project r,1
apache,1
data integrity,1
test design,1
investment banking,1
data services,1
remediation,1
career development,1
loans,1
supervision,1
research,1
market intelligence,1
basic,1
workflow,1
manager technology,1
strategic planning,1
process improvement,1
assurance,1
supply chain management,1
actuarial,1
online media,1
digital media,1
bcom,1
trainee,1
it,1
power bi,1
information technology,1
environmental science,1
sbu,1
ms office tools,1
data visualization,1
computer languages,1
lean six sigma,1
cam,1
swaps,1
ssi,1
fixed income,1
team management,1
cost,1
analyst 2,1
wellness,1
finance,1
management,1
retail marketing,1
android,1
ajax,1
salesforce,1
css,1
asp,1
integration,1
databases,1
written communication,1
ms excel,1
energy management,1
mysql,1
