Element,Count
machine learning,134
python,134
data science,92
it skills,43
r,43
deep learning,42
data scientist,38
cnn,30
lstm,28
data management,27
artificial intelligence,27
nlp,26
sql,25
text mining,23
data analytics,23
neural networks,22
data mining,21
pytorch,20
analytical,19
devops,18
pandas,17
azure iot,17
tensorflow,16
statistical analysis,16
predictive modeling,16
rcnns,15
tableau,15
rnn,14
cicd,14
data analysis,14
natural language processing,13
testing,13
numpy,13
azure,12
project management,12
logistic regression,11
keras,11
net core,11
cloud,10
statistical modeling,10
time series analysis,10
data modeling,10
open source,9
nltk,9
communication,9
training,9
opencv,8
computer science,8
azure cloud,8
agile,8
big data,8
aws,7
data structures,7
predictive analytics,7
statistics,7
investigation,6
enterprise applications,6
mysql,6
oracle,6
ai,6
svm,6
cloud computing,6
java,6
algorithms,5
hadoop,5
javascript,5
sas,5
software development lifecycle,5
machine - learning,5
analytics,5
data collection,5
coding,5
hive,4
model building,4
advanced analytics,4
r programming,4
factor analysis,4
image processing,4
data processing,4
computer vision,4
github,4
spark,4
scipy,4
anova,4
 keras,4
random forest,4
business intelligence,4
bpo,4
forecasting,4
web analytics,4
visualization,4
sql queries,4
html,4
econometrics,4
linear regression,4
watson discovery,4
waston assitance,4
gru,3
reinforcement learning,3
bigdata,3
hdfs,3
maprdb,3
 bert,3
hr,3
mining,3
unix,3
tensrflow,3
software development,3
healthcare,3
 quantitative analyses,3
algorithm development,3
anomaly detection,3
oops,3
etl,3
planning,3
chaid,2
derivatives,2
time series forecasting,2
probability,2
data warehouse,2
spacy,2
data cleansing,2
jupyter,2
scrum,2
ml,2
intellectual property,2
google cloud,2
google cloud platform,2
eda,2
computer languages,2
predictive analysis,2
matplotlib,2
verbal,2
data engineering,2
teradata,2
teradata data science,2
deep learning frameworks,2
nosql,2
programming,2
adwords,2
statistical learning,2
product management,2
excel,2
php,2
big query,2
hbase,2
scala,2
model development,2
information retrieval,2
ldatopic modeling,2
e-commerce,2
algorithm,2
time series,2
regression analysis,2
forecastinf,2
ieee,2
retail analytics,2
intern,2
detection,2
operations,2
exploratory data analysis,2
ssis,2
linux,2
marketing analytics,2
multivariate analysis,2
shell scripting,2
business analytics,2
ai analytics,2
ssrs,2
c++,2
correlation,2
apache,2
grads,2
metadata,2
transfer learning,2
business services,2
scheduling,2
operations research,2
decision trees,2
ms sql,2
spotfire,1
problem-solving,1
mlops,1
java script,1
ml frameworks,1
torch,1
ci/cd pipeline,1
analytics strategy,1
r code,1
technical designs,1
aws textract,1
sql and no sql databases,1
industrial use cases,1
analytical models,1
adobe campaign,1
pyspark,1
sql server,1
powerpoint,1
tidyverse,1
stanford-nlp,1
nlp pipeline,1
azure data factory,1
implementing ml,1
build/deplay/manage solutions,1
sas programming,1
etl development,1
cicd methods,1
business analysts,1
scikit,1
and sql.tensorflow,1
wordnet,1
lda,1
prototype,1
grammar,1
count vectorization,1
python scripting,1
ocr,1
naivebayes,1
seaborn,1
aa,1
statistical algorithms,1
workflow management,1
infrastructure,1
ibm datacap,1
abby flexi capture,1
automation,1
vmware,1
networking,1
virtualization,1
amazon web services,1
statistical analyst,1
mongodb,1
data pipeline,1
subject matter expert,1
abby fine reader,1
credit risk management,1
ddl,1
risk analytics,1
bp,1
scorecard,1
bagging and boosting,1
roc curve,1
product engineering,1
 machine learning,1
 data management,1
 random forests,1
nn,1
lift analysis,1
.,1
data wrangling ,1
phd,1
lstms,1
artificial neural networks,1
payment processing,1
presales,1
spss,1
predictive modelling,1
anaconda,1
causal inference,1
production machine learning tools,1
frequentist statistical inference,1
git,1
web technologies,1
siemens,1
data manipulation,1
storm,1
ci - cd,1
object detection,1
data extraction,1
project delivery,1
azure devops,1
azure migration,1
regression modeling,1
customer service,1
data,1
telematics,1
data visualization,1
automotive,1
data visualization tools,1
people analytics,1
performance management,1
business communication,1
troubleshooting,1
risk management,1
global marketing,1
supply chain,1
continuous improvement,1
performance tuning,1
pdf,1
simulation,1
data preparation,1
manager quality assurance,1
exploratory testing,1
data structure,1
assurance,1
product reliability analytics,1
freshers,1
it services,1
medical devices,1
kubernetes,1
cloud native,1
pharma,1
life sciences,1
interpersonal skills,1
circuit designing,1
consulting,1
information architecture,1
usage,1
accounts receivable,1
financial services,1
service level,1
claims,1
expense management,1
fixed assets,1
angularjs,1
software testing,1
modelling,1
h2o,1
safe agile,1
factory analytics,1
azure databricks,1
web services,1
postgresql,1
data warehousing,1
sdlc,1
learning,1
client servicing,1
powerbi,1
topic modeling,1
application programming,1
social networking,1
fmcg,1
recruitment,1
opennlp,1
pig,1
sparkml,1
solr,1
communication skills,1
