Element,Count
machine learning,34
python,22
it skills,12
data science,10
tensorflow,10
cloud,9
linux,9
computer vision,8
machine learning engineer,7
java,6
software development,6
image processing,6
sql,6
test execution,5
machine learning techniques,5
load runner,5
spark ml,5
communication,5
python scripting,5
selenium,5
keras,5
confluence wiki,4
btp core,4
test planning,4
jenkins,4
flume,4
r,4
scikit,4
hive,4
theano,4
software testing,4
agile,3
neural networks,3
pytorch,3
cnn,3
tesnorrt,3
object detection,3
caffe,3
rnn,3
opencv,3
apache,3
open source,3
javascript,3
mongodb,3
artificial intelligence,3
automation,3
schema,3
sdk,2
machine intelligence,2
machine learning frameworks,2
analytical skills,2
industrial engineering,2
siemens,2
operations,2
testing,2
detection,2
data analytics,2
algorithm development,2
consulting,2
azure,1
mlops,1
devops,1
computer science,1
cuda,1
x86,1
arm,1
etl,1
nlp,1
computer languages,1
map / reduce,1
spark,1
hadoop,1
nltk,1
ner,1
spacy,1
natural language processing,1
logistic regression,1
pandas,1
aws,1
mlflow,1
