Employer,Job Title,Base Salary,Category,city,state_id,state_name,lat,lng
BTI SOLUTIONS INC,Network Engineer,56000.0,Computer Science,Plymouth,MI,Michigan,42.3718,-83.468
BTI SOLUTIONS INC,Network Engineer,56000.0,Computer Science,Plymouth,MI,Michigan,42.3718,-83.468
KS SYSTEMS LLC,Data Engineer,70658.0,Data Science,Plymouth,MI,Michigan,42.3718,-83.468
KS SYSTEMS LLC,Data Engineer,70658.0,Data Science,Plymouth,MI,Michigan,42.3718,-83.468
ROBERT BOSCH LLC,Software Engineer,100000.0,Computer Science,Plymouth,MI,Michigan,42.3718,-83.468
LOGIC SOLUTIONS INC,Software Engineer,69514.0,Computer Science,Plymouth,MI,Michigan,42.3718,-83.468
BOSCH AUTOMOTIVE SERVICE SOLUTIONS INC,Software Engineer,103217.0,Computer Science,Plymouth,MI,Michigan,42.3718,-83.468
ROBERT BOSCH LLC,Software Engineer,102000.0,Computer Science,Plymouth,MI,Michigan,42.3718,-83.468
AVL TEST SYSTEMS INC,Software Engineer,106087.0,Computer Science,Plymouth,MI,Michigan,42.3718,-83.468
ROBERT BOSCH AUTOMOTIVE STEERING LLC,Software Engineer,101275.0,Computer Science,Plymouth,MI,Michigan,42.3718,-83.468
ROBERT BOSCH LLC,Software Engineer,102000.0,Computer Science,Plymouth,MI,Michigan,42.3718,-83.468
AVL TEST SYSTEMS INC,Software Engineer,106087.0,Computer Science,Plymouth,MI,Michigan,42.3718,-83.468
BTI SOLUTIONS INC,Network Engineer,56000.0,Computer Science,Plano,TX,Texas,33.0502,-96.7486
BTI SOLUTIONS INC,Network Engineer,57320.0,Computer Science,Plano,TX,Texas,33.0502,-96.7486
MOBILENET SERVICES INC,Network Engineer,61006.0,Computer Science,Plano,TX,Texas,33.0502,-96.7486
MOBILENET SERVICES INC,Network Engineer,61006.0,Computer Science,Plano,TX,Texas,33.0502,-96.7486
MOBILENET SERVICES INC,Network Engineer,75000.0,Computer Science,Plano,TX,Texas,33.0502,-96.7486
MPOWER LOGIC INC,Network Engineer,79123.0,Computer Science,Plano,TX,Texas,33.0502,-96.7486
GROKSYS LLC,Network Engineer,79123.0,Computer Science,Plano,TX,Texas,33.0502,-96.7486
