Element,Count
testing,31
it skills,29
selenium,27
agile,24
automation,20
java,19
qa,19
test cases,12
manual testing,12
software quality assurance,12
automation testing,11
salesforce,11
api automation,11
salesforce testing,10
sfdc,10
api testing,9
linux,9
xml,8
soapui,8
python,8
cicd pipeline,8
rest,8
api,7
functional testing,7
nft testing,7
wan,6
volte,6
srvcc,6
quality assurance,6
analytical,6
cucumber,6
manager quality assurance,6
csfb,6
performance testing,6
ms sql,5
communication,5
software development,5
debugging,5
test case execution,5
test case templates,5
software development methodologies,4
iso,4
automation qa,4
data validation,4
test management,4
e-learning,4
hr,4
bdd,4
rdbms,4
payroll,4
jira,4
software quality,4
jmeter,4
test scenarios,4
talent acquisition,4
javascript,4
application testing,4
automation framework,4
appium and soap ui,4
agile projects,4
jbehave,4
testng,4
ott,3
rrc,3
troubleshooting software,3
test planning,3
regression testing,3
qos,3
scrum,3
functional,3
agile methodology,3
ios testing,3
mac,3
http,3
mobile application testing,3
lte qa,3
android testing,3
including regression,3
salesforce qa,3
rest api,3
e2e api testing,2
testing tools,2
groovy,2
css,2
xpath,2
groovy java,2
cd,2
windows application,2
e2e testing,2
agile development methodology,2
postman,2
ci,2
verbal,2
apigee api testing,2
rest assured,2
white box,2
api testing automation,2
stp,2
verbal communication,2
cloud,2
aws,2
web testing,2
api test automation,2
postman api,2
tosca,2
san,2
sap pp,2
azure,2
troubleshooting,2
microsoft,2
telematics,2
construction equipment,2
heavy machinery,2
mining,2
black box testing,2
ipv6,2
automation tools,2
network security,2
network management,2
sap,2
project management,2
methodologies,2
quality analyst,2
networking,2
data management,2
sap testing,2
supply chain,2
katalon,2
tcp / ip,2
consulting,2
sap erp,2
information system,2
information security,2
procurement,2
jenkins,2
sap mm,2
test scripts,1
integration testing,1
oracle,1
test design,1
test strategy,1
writing test cases,1
front end,1
it services,1
qa qc engineer,1
web technologies,1
sql,1
test execution,1
business executive,1
workflow,1
medical insurance,1
providing technical inputs in projects and other it initiatives,1
responsible for supporting conceptualizing,1
software development and testing,1
user requirements definition and create test plans for the application,1
plan for uat and other forms of testing,1
test case design,1
qa engineer,1
programming,1
manualqa engineer,1
quality assurance engineering,1
dynamic routing,1
qa test suite,1
healthcare,1
ci / cd,1
sql queries,1
git,1
rspec,1
protractor,1
unit testing,1
go lang,1
automated testing,1
stlc process,1
smtp,1
web services testing,1
windows,1
snmp,1
web services,1
software qa,1
flex,1
ui automation testing,1
mysql,1
ios,1
android,1
mobile testing,1
tcp,1
cloud services,1
unix,1
financial services,1
game testing,1
edc,1
defect tracking,1
user acceptance testing,1
information technology,1
