Element,Count
it skills,279
java,197
testing,134
javascript,124
cloud,112
software development,95
linux,92
python,88
c++,83
c,70
debugging,70
jquery,69
azure,65
agile,65
communication,60
c#,59
aws,52
git,49
data structures,48
j2ee,47
html,44
devops,41
asp.net,40
software engineering,38
networking,37
xml,35
coding,35
oracle,34
troubleshooting,34
automation,34
sql server,33
computer science,33
sql,33
mysql,32
bootstrap,31
jenkins,30
embedded c,29
big data,29
core java,29
forgerock openidm,27
angular,27
.net,26
css,25
verbal,25
sap,24
hibernate,23
json,23
written communication,21
web services,21
windows,21
php,21
oops,21
spring boot,20
rest,20
jira,20
design,20
analytical,20
qt,19
performance tuning,19
ms sql server,19
software design,19
backend,19
scrum,19
unix,19
shell scripting,18
rtos,18
data science,17
typescript,17
react,17
written,17
asp net,16
html5,16
web api,16
ms sql,16
ethernet,16
microservices,15
machine learning,15
soap,15
intellij,15
embedded software,14
network security,14
android,14
waterfall,14
node.js,14
front end,14
autosar,14
programming,14
unit testing,14
css3,13
svn,13
swift,13
react js,13
application development,13
tcp,13
test cases,13
ci / cd,12
design patterns,12
http,12
product management,12
.net core,12
agile development,12
mvc,12
ios,12
kubernetes,12
web technologies,12
perl,11
software,11
selenium,11
sql queries,11
bsw,11
vectorcast,11
telecom,11
wireless,11
springboot,11
multithreading,11
maven,11
canoe,11
spring,11
pl/sql,10
cloud computing,10
atlassian confluence,10
bss,10
nodejs,10
project management,10
test driven development,10
migration,10
erp,10
c#.net,10
confluence,10
consulting,10
sap hana,9
objective-c,9
version control,9
paas,9
qml,9
docker,9
saml,9
application programming,9
.net framework,9
cryptography,9
microsoft sql server,9
automapper,9
castle windsor,9
asp.net mvc 5.0,9
postgresql,9
eclipse,9
openshift,8
ios sdk,8
apache camel,8
apache kafka,8
embedded software development,8
junit,8
cisco asa,8
ajax,8
architecture,8
azure sql,8
ui,8
cisco ftd,8
power bi,8
testing tools,8
powershell,8
aws glue,8
mobile development,8
continuous integration,8
linux kernel,8
development,8
api,8
rdbms,8
sdlc,8
net framework,8
scm,8
object-oriented programming,8
automation testing,8
restful apis,8
technical leading,7
jpa,7
redux,7
google bigquery,7
solution design,7
net,7
aks,7
wcf,7
forgerock openam,7
apis,7
developing,7
object oriented design,7
open source,7
functional testing,7
embedded linux,7
quality assurance,7
forgerock,7
algorithms,7
kentico,7
enterprise applications,7
information security,7
microsoft,7
github,7
igmp,7
nosql,7
visual studio,7
spring -,7
vmware,7
angular js,6
performance testing,6
defect tracking,6
deployment automation,6
soap apis,6
gcp,6
refactoring,6
fips,6
sql database,6
automotive,6
adobe aem,6
middleware,6
apache,6
teradata,6
wireshark,6
jee platform,6
software engineer 2,6
identity and access management,6
implements security,6
fullstack development,6
e-learning,6
java web services,6
product strategy,6
node js,6
jaxb,6
juniper,6
l2,6
react.js,6
networking protocols,6
integration testing,6
etl,6
angularjs,6
performance management,6
api management,6
l3,6
entity framework,6
adf,5
olap,5
ui development,5
mvvm,5
vpn,5
isis,5
routing protocols,5
bobj,5
sap data services,5
t - sql,5
netbeans,5
bitbucket,5
infrastructure,5
webservices,5
healthcare,5
sass,5
automation framework,5
spark,5
soa,5
mongo,5
restful,5
atlassian,5
tomcat,5
plsql,5
tensorflow,5
bods,5
jsp,5
golang,5
protractor,5
artificial intelligence,5
gdb,5
oo concepts,5
object oriented programming,5
api development,5
net framework 4.0,5
data quality,5
visual design,5
learning,5
active directory,5
configuration management,5
oauth 20,5
kotlin,5
bpo,5
azure data factory,5
go,5
scrum methodology,4
manager technology,4
aspnet,4
microsoft azure paas,4
google cloud,4
workflow,4
db2,4
storm,4
workflows,4
stake holder management,4
object - oriented design,4
opencv,4
vsts,4
image processing,4
software development life cycle,4
linq,4
spring security,4
software architecture,4
system software development,4
webpack,4
ml apis,4
work permit,4
hive,4
simulink,4
opengl,4
xsl,4
matlab,4
database system architecture,4
aws architecture,4
c programming,4
salesforce,4
pyspark,4
life cycle,4
content management systems,4
pytorch,4
stakeholder management,4
nlp,4
3d,4
nhibernate,4
kentico cms,4
cloud applications,4
open am,4
compliance,4
jdbc,4
lan,4
jmeter,4
oauth,4
verbal communication,4
jboss,4
forgerock implementation,4
tdd,4
process improvement,4
c# net,4
rcp,4
virtualization,4
node,4
embedded,4
field trials,4
communication protocols,4
microcontroller,4
standard operating procedures,4
pdf,4
research development,4
process management,4
basic knowledge about css,4
scorm,4
ui automation,4
access management,4
software engineer 3,4
android framework,4
android sdk,4
construction equipment,4
embedded sw development,4
zalenium,4
module development,4
xcode,4
microcontroller programming,4
jenkins pipeline,4
hmi development,4
artifactory,4
cypress,4
integration tests,4
continuous improvement,4
oid,4
sqlite,3
application support,3
cloud technologies,3
documentation,3
sap fico,3
rds,3
portfolio management,3
good communication skills,3
fortify scan,3
rdmbs,3
es6,3
xamarin,3
solution development,3
content management,3
analytical skills,3
assembly language,3
graphics,3
macos,3
mobile architect,3
5g ran,3
c / c++,3
usage,3
cassandra,3
presto,3
unit testing tools,3
load runner,3
automotive electronics,3
product design,3
white box testing,3
tools,3
device drivers,3
elastic search,3
okta identity management,3
iam,3
sas,3
identity management,3
react native,3
access control,3
san,3
password management,3
web development,3
kanban,3
signavio,3
qtest,3
jms,3
architectural design,3
ood,3
oop,3
aws core infrastructure,3
big data analytics,3
asp net mvc,3
restful api,3
rest api,3
oscilloscope,3
electronic circuit design,3
fullstack,3
protocol stack,3
microsoft windows,3
workplace technology solutions,3
configuration manager,3
azure databricks,3
microsoft deployment toolkit mdt,3
azure ad,3
misra,3
software engineer ii,3
ec2,3
nltk,3
cv2x,3
rnn,3
lstm,3
system administration,3
vb.net,3
object oriented development,3
esri arcgis,3
ldra,3
embedded c++,3
sql server 2005,3
arcfm,3
gis,3
process automation,3
struts,3
dreamweaver,3
jakarta tomcat,3
memory management,3
full stack,3
sap eam real estate management,3
automated test frameworks,3
acr,3
aspnet core,3
saas,3
manager quality assurance,3
vb net,3
scripting,3
.net framework 4.5,3
iis,3
uml,3
flux,3
front - end development,3
shell,3
technical support,3
azure devops,3
xsd,3
java coding,3
guidewire,3
java enterprise,3
s3,3
i2c,3
rest apis,3
rs485,3
messaging,3
css 3 0,3
jest,3
selection process,3
vxworks,3
rxjava,3
jtag,3
picasso,3
spring mvc,3
json format,3
level,3
trouble shooting,3
electronics,3
dagger,3
supply chain,3
retrofit,3
c++ programming,3
posix,3
pmc,3
publishing,3
cortex,3
docsign clm,3
technical,3
enterprise network operations,3
com,3
security services,3
packaging,2
data visualization,2
test execution,2
instrumentation,2
ni labview,2
cloudant,2
ssl,2
angular 10,2
wmb,2
mq,2
flume,2
ibm datapower,2
software development life,2
bigquery architecture,2
bigquery ml,2
hardware,2
speech recognition,2
staffing,2
net 4 5+,2
singleton,2
.net technologies,2
sap ecc,2
apis oauth,2
vlan,2
oo design,2
ms access,2
oim,2
cyberark privileged identity access management,2
picasso/glide,2
identity,2
oracle identity manger,2
one identity manager,2
oim 11g,2
rest - apis,2
restful web service,2
linux device drivers,2
ipc,2
simulation,2
information technology,2
rfq,2
power electronics,2
fpga,2
objective c,2
fronthaul testing,2
lte testing,2
microsoft 365,2
crystal report,2
tfs,2
open,2
dotnet development,2
qos,2
root cause,2
debug,2
drive integration,2
java ee,2
data migration,2
oracle db,2
ruby,2
ruby rails,2
asp net core,2
ds saml,2
ad,2
routing,2
kvm,2
session management,2
identity access management,2
mpls,2
ldap,2
r,2
google cloud cloud bigquery,2
python programming,2
public health,2
winforms,2
x86,2
nunit,2
mstest,2
mca,2
ssrs,2
code,2
regression testing,2
application server,2
openidm,2
password policies,2
source control management,2
installation,2
manual testing,2
mvp. usage of frameworks -volley/retrofit,2
unix shell scripting,2
kafka,2
software documentation,2
tableau,2
database design,2
pl - sql,2
database administration,2
test-driven development,2
web security,2
sdk,2
symfony,2
doctrine orm,2
twilio integration,2
test scenarios,2
ips,2
api security,2
intellectual property,2
t-sql,2
flutter,2
application design,2
docusign,2
automated testing,2
sprint boot,2
android studio,2
hardware development,2
log shipping,2
iphone,2
uart,2
postman api,2
observer,2
-strong and demonstrable knowledge of android java,2
configuring,2
administration,2
provident fund,2
jira workflows,2
atlassian tool,2
screen schemes,2
rs232,2
ios development,2
spi,2
mssql,2
sme,2
java 8,2
dvr,2
management,2
law enforcement,2
vod,2
consumer electronics,2
cloud bigquery,2
windows server administration,2
configuration,2
problem solving,2
sabre,2
ms office,2
qnx,2
postman,2
transition,2
ssh,2
odata,2
issue resolution,2
operations,2
automl,2
pega prpc,2
design & development,2
employee engagement,2
it governance,2
life insurance,2
google cloud platform architecture,2
wan,2
clod data flow,2
xnap,2
schema,2
mac,2
arcgis server,2
lambda,2
kendo ui,2
guidewire integration,2
gui design,2
stl,2
databinding.java design patterns - factory,2
it,2
agile methodology,2
commercial vehicle,2
cisco firewall,2
change management,2
patterns,2
arcgis desktop,2
js,2
java script,2
bash,2
palo alto,2
modbustcp,2
http/2,2
