,job_id,job_type,job_title,company_name,company_location,job_description,job_link,job_salary,ExperienceLevel
0,sj_f50c7f6821496dc4,Data Engineer,Data Center Engineer,Mimecast,"Boston, MA","This contract role is located at our two US Boston data centre colocations in Andover and Waltham. The team is based within our Global Technical Operations department here at Mimecast.
The ideal candidate must be a self-motivated and a strong team player. Successful candidates will thrive in a fast paced and agile environment that is regularly evolving.
Key Responsibilities
Help to develop global standards and promote best practices in data center operations.
Introduce process improvements and encourage best practices in datacentre operations.
Racking of quarterly server deliveries and network equipment.
Decommission of aging equipment
Track server/network assets through deployment lifecycle.
Maintain accurate reporting and auditing of all assets within the data centers.
Regular JIRA ticket management.
Diagnose server component faults and perform replacements.
Provide cross-functional communication with other technical operations groups.
Upkeep of data centre equipment records
Work with monitoring systems to identify problems.
Maintenance and configuration of data rack PDUs
Participate in conference calls/meetings with team members on a regular basis.
Handle incoming and outgoing shipments worldwide.
Work closely with other 3rd party datacenter remote hands engineers worldwide.
RMA Management with multiple vendors
Assist with tracking data center issues and keeping Mimecast servers in production.
Send weekly task progression reports.
Essential Skills and Experience
Basic knowledge of Linux, and Windows Operating Systems.
Good knowledge of Microsoft Outlook, Word and Excel.
Good knowledge of data centre cabling standards
Good knowledge of data centre buildings & critical infrastructure
Excellent knowledge of server hardware and troubleshooting.
Able to lift and or move equipment up to 22.5 Kgs daily, group lifts for 22.5 Kgs or more.
Candidate must be flexible in visiting either of our US Boston datacentres where needed.
Strong verbal and written communication skills.
Ability to prioritize in a complex, fast-paced environment.
Able to work in noisy environments such as datacenters.
Desirable Skills
Experience working in a multi-vendor datacentre environment.
Understanding of out-of-band server communication methods
Experience in datacentre hardware deployments and building scaling infrastructure.
Basic knowledge of Atlassian JIRA/Confluence and Microsoft Sharepoint.
Job Type: Contract
Salary: $40.00 - $50.00 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
Boston, MA: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data center (Required)
Work Location: In person",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ay-jcwc2LTxbYtyA6uJxcS1WSpJLobo5QhPCO4mzh19NQkDSSOl9EsUiquXPdCICDRAp_7NOKU1AMngo3-aC-wvrdQYGoM9CRx3j89F-N4lvImZ00N0OYkN70dJ43TsxeGsXXRJePbftR-Zm_qvyTcr0EXopSB-tG2zYjRkdRIUy9er8l7Olmu0rjj3bVxSDiGgJUIklcGyG6-9fK1Sb7bQXfYYbEVJ_Q-oQAoVruV9wBfhNApQQhra60eIfzIa7WHpT7GZnFvtwyMn_BE0K0aFrhIWPurAiFdaetVva0VWVQK_0-VxSDC0oxrj-t1agRC4UaMZ6E4hBsf1zGPtnhN4l87AjYNhP7hGFZm8-pkU1YnIsJpJ6alKy_DLRGMqiYHq1lzsmt64mQ6-KoEaGDuGu6Fjt8nDVIZOfNazjWpTs4ekvKEzfzzv16UTq_SELsZqVEUXzBa1RlcZqYrBHT_ykrIS548whFEYw9W7bUxc0ByaK93RlUbtRuuR-qN8yStKk7Y6taiWSjC8AKJB4BClSkw5EavDWxcRbb3smWtG4ddJhMyXnWA3bVAEsptVAPtMJtQ4d72QKDVmxmionqHFnPC8glZESA=&xkcb=SoCX-_M3HGgRWOTCiZ0LbzkdCdPP&p=0&fvj=1&vjs=3,$40 - $50 an hour,entry
1,sj_675988ded9fd7c88,Data Engineer,Data Engineer,Discover Financial Services,"Riverwoods, IL 60015","Discover. A brighter future.
With us, you’ll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get Better Every Day & We Succeed Together. And we mean it — we want you to grow and make a difference at one of the world's leading digital banking and payments companies. We value what makes you unique so that you have an opportunity to shine.
Come build your future, while being the reason millions of people find a brighter financial future with Discover.
Job Description:
At Discover, be part of a culture where diversity, teamwork and collaboration reign. Join a company that is just as employee-focused as it is on its customers and is consistently awarded for both. We’re all about people, and our employees are why Discover is a great place to work. Be the reason we help millions of consumers build a brighter financial future and achieve yours along the way with a rewarding career.
The Data Engineer is responsible for designing, developing, testing, and maintaining complex data solutions for the product. Data Engineers play a key role in mentoring and influencing peers to achieve commitments on data solutions in a timely fashion and with an emphasis on quality. This role also has a broader influence through technical thought leadership amongst their peer tech lead community. Actively manages and escalates risk and customer-impacting issues within the day-to-day role to management.
Responsibilities
Develops and troubleshoots data integration solutions with complex data transformations and provides guidance to other team members
Influences other team members to achieve commitments per guidance from Chapter Leads and actively contributes to agile ceremonies
Demonstrates strong technical aptitude across data engineering practices:
Utilizing variety of tools to profile, secure the data in transit and at rest; and to enforce data Governance Controls and Alerting
Designing advanced SQL queries
Leveraging metadata-driven framework for solutions
Developing test scripts for unit and integration testing
Develops test methodologies for specific products
Leads code review sessions and other process and operational improvement initiatives
Exhibits fluency with use of supplemental tools and technologies involved in data integration (Unix/Linux, TWS/Control-M or alike, BI stack)
Works on holistic solutions, driving feature and story delivery (Agile)
Identifies and effectively communicates upstream and downstream impacts for changes in the data pipeline
Participates in the on-call rotation for support
Demonstrates effective and clear communication in team and cross-functional meetings, and lead tech communities
Builds strong collaborative working relationship both within the team and cross-functionally
Minimum Qualifications
At a minimum, here’s what we need from you:
Bachelor's Degree in Computer Science or related field
3+ years of experience in Data Platform Administration/Engineering
Internal applicants only: technical proficiency rating of competent on the Dreyfus engineering scale
Preferred Qualifications
If we had our say, we’d also look for:
ETL/ELT Tools (AbInitio, DataStage, Informatica)
Cloud Tools and Databases (AWS, Snowflake)
Other programming languages (Unix scripting, Python, etc.)
Leverage CI/CD framework for data integration, Open Source
Experience working in cloud platforms (AWS, GCP, Azure)
Basic understanding of key infrastructure concepts (data centers as well as cloud hosting platform) to support business data needs
Experience optimizing SQL both relational and nosql
Multichannel consumer marketing and journey orchestration
External applicants will be required to perform a technical interview.
#LI-KE
Compensation:
The base pay for this position generally ranges between $84,500.00 to $142,500.00. Additional incentives may be provided as part of a market competitive total compensation package. Factors, such as but not limited to, geographical location, relevant experience, education, and skill level may impact the pay for this position.
Benefits:
We also offer a range of benefits and programs based on eligibility. These benefits include:
Paid Parental Leave
Paid Time Off
401(k) Plan
Medical, Dental, Vision, & Health Savings Account
STD, Life, LTD and AD&D
Recognition Program
Education Assistance
Commuter Benefits
Family Support Programs
Employee Stock Purchase Plan
Learn more at MyDiscoverBenefits.com.
What are you waiting for? Apply today!
All Discover employees place our customers at the very center of our work. To deliver on our promises to our customers, each of us contribute every day to a culture that values compliance and risk management.
Discover is committed to a diverse and inclusive workplace. Discover is an equal opportunity employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veteran status, or other legally protected status. (Know Your Rights)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnAUIA0OVKrI5--6KBLrLfx6B93lXIkP5h64fqU2nbnVWbUe-UqWU568MrfuKtM7FaEr4BR5jSSki4DrFLn2C8IwlwJ2Bz_5uAV699avvkMb4ZtbbajvIZtx78i8_my6f2XkzvPsYyuSgABl8YR_EjWD7jcO0GHOKXXtGMCNEGlH9uMV8MeStV8kKsvWABpRZToTFIRPr2dB4pbNmxqjPsM8FNE00FEn2QYDe-FcQvVMtu1Z7UDCoWFl1jJ_-ygJoro0kXTAzDgfvZql6ezcmi2WmC62DD9Xd6CA8Abu8TVC0RIbExy7o76NhdGx2YgKpab4IBV635hND0L24WRDjk2nef3VDtJJpOu8WzqEDXfBYhKksH54txdPr8jZFxWsd44Fs6dhShFagJEWCG1nQf9HLISDmiaUqO-V7vP9XZFm-6Y8PeG1CCMaAWFK-Cl8uONV-hjfctdqt-LcWpf3hQ7QmiGocn8_ESzu4kZwMDeYWJkSfjWPHSMBXh4dCdieOzwcEUt1Mtcp01oLTYUqKf_zMFNhpYvoVS-HNkvSBU3lt4PGvi8_k7Uyt5gBfJHYy3GuAh-BjvCZsP_Y73iigBUYQu8wroCfGGH5_3bv7wB8et7Aii7XEoRau4C8VV_NghnJs6_Qi3n8eATA6ymgtx-v7KdqiSwH-uqydLBNSlP2vnrxJu70-D1OB_7REy8nkgHzQvhd1LdH-lIzYsl5_m-_10NtlfOsFDYNBwbj22yN2lWFuHAMnpxlGaxv-LlOiFQEz13Oo_fEUJBbyw2JUQ5sBH-iWNfCrYnEVQiLU5wv3_6qbyii5xZN61TnATS_-Of1JRJUMr6xNzHDtHzAdb41udXAD9v46h8AMCRSxcHghwDJdImnKFYMVocgcnqrfq8CQNRryOqsdUs2JKlhcSdxmc91KtXIdTBpbrBT1B-f9I8on-Rm9aDaEqVgA-rYtMxuVWOvoeIn7enSkePjIjtZBthXBOigLLMGK9Dr5P2KIZri4t_7t-IfnNHjWxEblC4iBFwEZ8b2KOFw11Ne6Pz0FXk5fqihyQrzp2Slqmc2PRhl-HcjeQrXPXmZcelONmqTTlFLYOt5B9E2ytOGlinCbJdzIR8iWx3LxCJJawQ8IU4lxPoJp3lxXZ75bOfFOc3zoff2AzslHkgUj6gXOx2C2NHE-ozX7Jo0IRFNkhB081ROgZvEasMphUmgHH93eeHxkvbrL9c61p8BBMM8Ow&xkcb=SoAj-_M3HGgRWOTCiZ0KbzkdCdPP&p=1&fvj=0&vjs=3,"$84,500 - $142,500 a year",entry
2,job_f930f8415ca5e8d9,Data Engineer,Data Engineer,Kaizen Analytix,Remote,"Data Engineer: Contractor
Kaizen Analytix LLC, an analytics services company, is seeking a qualified Data Engineer Contractor to support data science or data analytics projects. Responsibilities, capabilities for success, and job requirements are below. This role requires an estimated 40 hours/week commitment for approximately 26 to 52 weeks.
Responsibilities:
Candidate will be responsible for supporting a data science or data analytics project.
Work with client IT to understand access and use of source-of-truth data systems and downstream data sources.
Work with data scientist or visualization experts to determine data requirements such as structure, latency, availability.
Work with IT Security to assess risk of using sensitive data and how these data can be used throughout the project life cycle.
Develop an as-is and to-be state for data architecture.
Capabilities for Success:
In addition to key responsibilities, Candidate should demonstrate an ability to…
Work with the project manager and the business stakeholders to define upstream requirements for data.
Contribute to estimating input and time required for data engineering development tasks.
Contribute to client demonstrations of solutions or presentations on architecture.
Proactively raise risks and issues to internal project manager
Work with data scientist or analysts to proactively assist in data concerns
Job Requirements:
Education: Bachelor's degree required
Extensive Experience in Data Engineering – consuming, wrangling, validating, developing pipelines for data.
Strong knowledge of databases, ETL concepts, SQL, and NoSQL sources.
Experience in: Python (data packages such as Pandas, PySpark, SQL Alchemy, pydantic, etc.) and SQL.
Position Type: 1099 Contractor
Job Type: Contract
Pay: $50.00 - $60.00 per hour
Work Location: Remote",https://www.indeed.com/rc/clk?jk=f930f8415ca5e8d9&fccid=5baff486a041c8ff&vjs=3,$50 - $60 an hour,entry
3,job_55b8b8c454953fc7,Data Engineer,Data Quality Engineer,Clean Power Research,"Bellevue, WA 98005 
(Wilburton area)","Who Are We?

Looking for a job that makes a real difference in our world today and one that you’ll be proud of when you look back in 20, 30 or 40 years? This is it. Clean Power Research® is advancing the energy transformation through cloud software that informs, streamlines and values energy-related decisions and processes for utilities, energy professionals and consumers.
We’re a growing company that counts 10 of the top 10 Fortune 500 utilities and many of the largest renewable energy companies in the U.S. as our customers. We’re focused on expanding our market reach and impact with new software technologies that help solve the energy industry’s hardest problems.
At Clean Power Research, every employee has a seat at the table and an important role.
Why Work Here?

Go from building solutions to being part of the solution
Join a growing team of software and energy veterans from companies like Microsoft, Amazon, Google, Oracle, General Electric, Pacific Gas & Electric, First Solar, & Nissan
Bring your passion and ideas to the table
Use your creativity to solve hard problems and make tough decisions
Work in a start-up like environment coupled with the stability and customer base of an established, profitable company
Realize work-life balance; we like to see our families, friends and pets at night!
Join a growing company that expects you to grow with us and invests in your growth
Clean Power Research offers competitive compensation and benefits to full-time employees including medical/dental/vision, paid vacation, paid holidays, a bonus plan and 401(k) plan with matching.
What You’ll be Doing as a Data Quality Engineer

The Data Quality Engineer is part of the engineering team and will work closely with software engineers and the Research team. The person in this role will perform the technical analysis of irradiance and weather data, among other data sets, and write test automation to validate existing and new data models for historical and forecast weather data applications to ensure a high quality and accuracy of our datasets. Additionally, the person in this role will analyze and evaluate a multitude of data sources used by our SolarAnywhere® models.
The SolarAnywhere® family of products supports solutions for solar resource assessments, performance monitoring and solar forecasting. This product stands at the forefront of solar prediction for both the utility and solar markets. Our process begins with near real-time satellite imagery, leveraging advanced scientific algorithms to gauge and predict the impact of solar energy on the Earth's surface. SolarAnywhere holds a significant presence across various markets, encompassing utility-scale forecasting and the operational management of rooftop fleets.
Clean Power Research is leveraging these datasets to solve new customer problems. The Data Quality Engineer will identify and research additional data sets, conduct rigorous technical data analysis and collaborate with the team to elevate these data sets in new and existing software products.
The Data Quality Engineer will also provide internal technical support for marketing, sales and business development functions and can represent the company at technical conferences through publications and presentations.
Duties & Responsibilities

Develop, maintain, and enhance a comprehensive data quality framework that defines data standards, quality and accuracy expectations, and validation processes.
Implement tools and frameworks for automating the identification of data quality issues.
Validate the output of the SolarAnywhere models to ensure high quality and accuracy of our datasets.
Process, transform, and experiment with high volumes of data to optimize model accuracy.
Apply a procedural framework to assess the performance of a variety of models and quickly identify the most suitable approaches.
Develop and maintain data quality and accuracy dashboards, and scorecards to track data quality and models performance.
Work closely with researchers to automate the validation of models they develop as part of our test and release pipelines.
Write well-structured and maintainable code when developing tools and test automation.
Stay updated with industry best practices and emerging trends in data quality, identify and evangelize opportunities to leverage new approaches and key metrics to validate model changes and continuously monitor model performance.
Identify and validate new data sources to enhance model performance.
Who You Are

BA/BS or MS degree in data science, data analytics, atmospheric sciences, mathematics, statistics, engineering or related field
5+ years of experience in a professional environment having an analytical role involving data analysis techniques and preferably with emphasis on data quality
Exceptional analytical and problem-solving skills, including the ability to logically and efficiently structure ambiguous problems, identify sources of data, conduct complicated analyses, identify key insights and recommend model improvements
Proficient in using programming languages such as Python, C# and SQL to analyze large datasets
Experience writing test automation for data solutions or analytical products
Skilled in conducting test planning, executing test cases, and performing validation activities
Familiar with advanced techniques in data science, including statistical analysis, data visualization, and some machine learning techniques
Exposure to remote sensing applications, like satellite-based measurement techniques, is a plus
Strong working knowledge of statistics fundamentals and aptitude for working with large data sets to perform statistical analysis
Excellent written and verbal English communication skills
Superior organizational skills, ability to multitask across several concurrent projects
Passion for clean tech, solar energy or renewables
Pay Range & Benefits

Base Salary Range: $90,000 to $130,000 annual depending on experience
Benefits: Performance-Based Bonus, Company Equity Plan
Additional Benefits: Paid PTO, Sick Time, Holidays, Medical/Dental/Vision/Life and Disability Insurance, 401K, Paternity and Maternity Leave, Commuter Benefits
How To Apply

Click the link below to submit your resume. Please include a cover letter detailing your interest in this position and the renewable energy space along with your resume. Due to the large number of applicants for our positions, we regret that we can only respond to candidates who meet our requirements.
Clean Power Research is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.
The company’s employment decisions are based on merit, competence, performance and business needs.",https://www.indeed.com/rc/clk?jk=55b8b8c454953fc7&fccid=1c203d16d1b9d30f&vjs=3,"$90,000 - $130,000 a year",entry
4,job_ab75613c357ddff5,Data Engineer,Data Engineer,"Comcentia, LLC",Remote,"The Data Engineer III will design, build and operate high performance data centric solutions utilizing the comprehensive big data capabilities for the company’s data platform environment. In this role, you will act as an authority for data access pathways and techniques working with analysts within the functional data analytics team. You will design data structures and pipelines to collect data and design and implement data transformations, combinations or aggregations.
Independently handle complex issues with minimal supervision, while escalating only the most complex issues to appropriate staff.
Other duties as assigned
Help drive the adoption of new technologies and methods within the functional data and analytics team and be a role model and mentor for data engineers.
Build prototypes to test new concepts and be a key contributor of ideas and code that improve the core software infrastructure, patterns and standards.*Provide necessary technical support through all phases of solution life cycle.
Perform data modeling and prepare data in databases for use in various analytics tools and configurate and develop data pipelines to move and optimize data assets.
Develop technical solutions utilizing big data and cloud based technologies and ensuring they are designed and built to be sustainable and robust.
Participate in the decision-making process related to architecting solutions.
Collaborate with businesses, application and process owners, and product team members to define requirements and design solutions for the company’s big data and analytics solutions.
Minimum Qualifications
Bachelor's degree in a related field or equivalent experience
Four years of related work experience.
Preferred Qualifications
Experience developing data or software applications including analysis, design, coding, testing, deploying and supporting of applications.
Experience working with big data platform.
Experience with reporting tools and data sources.
Job Type: Full-time
Pay: $35.00 - $40.00 per hour
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
8 hour shift
Experience:
SQL: 4 years (Preferred)
Power BI: 4 years (Preferred)
Work Location: Remote","https://www.indeed.com/company/Comcentia,-LLC/jobs/Data-Engineer-ab75613c357ddff5?fccid=83c8f514bc6584ad&vjs=3",$35 - $40 an hour,entry
5,job_21381248a741bb71,Data Engineer,GCP Data Engineer,Enterprise Minds,"Phoenix, AZ","Job Role: Data Engineer
Location: Phoenix, AZ-(Onsite)
Experience: 9 to 10+ years
Duration: 12+ Months
Job Description:
Experience in Data engineering.
Proficient in Python, Java, and SQL.
Good knowledge in big data technologies like Hadoop, Spark, and Kafka
Must have Experience in Public cloud- GCP.
Bachelor's degree in a technical discipline or related field.
Job Type: Contract
Experience level:
10 years
Experience:
GCP Data Engineer: 10 years (Preferred)
Hadoop: 4 years (Preferred)
Google Cloud Platform: 4 years (Preferred)
Work Location: On the road",https://www.indeed.com/company/Enterprise-Minds/jobs/Data-Engineer-21381248a741bb71?fccid=8335339bfd0fdca7&vjs=3,,entry
6,job_cb91873956d6e5d2,Data Engineer,Data Engineer,BlueRose Technologies,Remote,"We are working on Data Engineer consultant role for one of our clients. Please let me know if you are available & interested in the below.
Need only Azure Data Engineer genuine profiles, need atleast minimum 10 Years of experienced candidates on that Azure should be 5+ years a must. Please don't share junior profiles.
Data Engineer
Location-Seattle, WA/ Remote
Long Term
Experience: 10-15+ years
Must Have: SQL, Python, Microsoft Azure, ADLS, Databricks, PySpark, Data Pipeline
Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
8+ years of experience in leading the design and development of data and analytics projects in a global company. Experience in working for projects across cross functional teams, building sustainable processes and coordinating release schedules.
5 + years of MS SQL experience with data modeling and stored procedure programming
2+ years of experience in working with Microsoft Azure and strong knowledge about Databricks, ADLS, Blob Storage, Data Factory, SQL Server and Warehouses.
Experience in Cloud based EDW platforms (Snowflake, Synapse, Redshift, Big Query etc)
3+ years of experience in designing and building large-scale data processing systems using Apache Pyspark, Apache NiFi and other big data technologies.
Strong programming skills in Java, Scala, or Python.
Participate in an Agile / Scrum methodology to deliver high-quality software releases every 2 weeks through Sprints.
Experience working on CI/CD processes and source control tools such as GitHub, etc.
5+ years of building and launching new data models that provide intuitive analytics for the analysts and customers.
pradeepkumar_m@bluerose-tech.com
Job Type: Contract
Salary: $65.00 - $70.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Experience level:
1 year
Schedule:
8 hour shift
Work Location: Remote",https://www.indeed.com/company/BLUEROSE-Technologies/jobs/Data-Engineer-cb91873956d6e5d2?fccid=c1e9c4f7aea206fc&vjs=3,$65 - $70 an hour,entry
7,job_07a0317e8352eea5,Data Engineer,Data Engineer,"Iver Solutions, LLC","Phoenix, AZ","IBM/AMEX
Data Engineer
Location: Phoenix, AZ (Onsite from the Day 1)
Skills / Experience Required :
Must have at least 3 years strong experience in Kubernetes plus experience in Private (OpenShift) and / or Public Cloud (AWS / GCP)
CI/CD workflows and troubleshooting, API executions.
Ability to Automate the tasks using Shell scripts and Ansible playbooks
Experience in platform observabilities using Splunk, Dynatrace and Grafana have an added advantage.
Job Type: Contract
Pay: $55.00 - $58.00 per hour
Schedule:
Monday to Friday
Work Location: In person","https://www.indeed.com/company/Iver-Solutions,-LLC/jobs/Data-Engineer-07a0317e8352eea5?fccid=ecbc7e77429bd6f5&vjs=3",$55 - $58 an hour,entry
8,job_ee5e07b07394b2f5,Data Engineer,Data Engineer,Ai Vantage,Remote,"Location: 100% telework
Years Experience: 10+ years
Education: Bachelor’s in IT related field
Clearance: Ability to obtain a Public Trust
As a Data Engineer you will support the Agile based engineering of a robust, secure, and scalable enterprise web
portal solutions hosted in AWS. This position will work closely with the solutions delivery team to supporting the
operations team performing Deployment, Systems Integration Testing, and Operations &amp; Maintenance activities.
Requirements:
○ 10+ years of IT experience focusing on enterprise data architecture and management
○ Experience with Databricks required.
○ 8+ years experience in Conceptual/Logical/Physical Data Modeling &amp; expertise in Relational and
Dimensional Data Modeling.
○ Experience with ETL and ELT tools such as SSIS, Pentaho, and/or Data Migration Services.
○ Advanced level SQL experience (Joins, Aggregation, Windowing functions, Common Table
Expressions, RDBMS schema design, Postgres performance optimization).
○ Experience with AWS environment, CI/CD pipelines, and Python (Python 3) a bonus.
○ Experience in Conceptual/Logical/Physical Data Modeling &amp; expertise in Relational and
Dimensional Data Modeling.
○ Experience Structured Streaming, Delta Lake concepts, and Delta Live Tables required.
○ Additional experience with Spark, Spark SQL, Spark DataFrames and DataSets, and PySpark
○ Data Lake concepts such as time travel and schema evolution and/or optimization.
Job Types: Full-time, Contract
Salary: $140,000.00 - $150,000.00 per year
Benefits:
Dental insurance
Flexible schedule
Health insurance
Paid time off
Compensation package:
Signing bonus
Experience level:
10 years
Schedule:
Monday to Friday
Education:
Bachelor's (Required)
Experience:
Data modeling: 8 years (Required)
ETL: 6 years (Required)
SQL: 8 years (Required)
AWS: 6 years (Required)
Work Location: Remote",https://www.indeed.com/company/Ai-Vantage/jobs/Data-Engineer-ee5e07b07394b2f5?fccid=3358af1bacc4f421&vjs=3,"$140,000 - $150,000 a year",entry
9,job_99f0448a6ffa827f,Data Engineer,Data Engineer,Deseret First Credit Union,"Salt Lake City, UT 84120","There's a reason we've won so many awards for being one of the best companies to work for! We invite you to apply to join our family, and here's what's in it for you:
12 paid holidays
A positive atmosphere and co-workers who truly care
Benefits, perks, and discounts worth a double-take
Competitive compensation
Enjoyable activities and wellness initiatives

Summary: The data engineer will be responsible for working with large databases and miscellaneous data sources to prepare data sources for use in analytics and with several credit union systems. This will include developing ETL processes to feed data to various systems and a cloud data warehouse. Additionally, they will have the responsibility to engineer machine learning models to assist in predictive analytics to support business teams.

Duties and Responsibilities:
Manage and maintain existing data pipelines, while improving current processes where applicable.
Identify data needs throughout the organization and work with stakeholders to meet those needs.
Data Load and Transformation: Develop data load processes for efficient storage and retrieval of data from databases and other file systems. Create data conversion and transformation processes and utilities for handling large datasets.
Data Transformation Rules: Collaborate in defining and documenting data transformation rules to ensure data integrity and accuracy.
ETL Design and Performance: Focus on the design, development, and performance tuning of ETL (Extract, Transform, Load) processes to optimize data processing efficiency.
Work with data analyst or visualization experts to determine data requirements such as structure, latency, availability.
Continually research, propose, and implement improvements data infrastructure.
This job description is not an exhaustive list of all job duties; other duties may be assigned at any time.

Qualifications:
Bachelor's Degree in Computer Science or a related field.
Extensive Experience in Data Engineering - consuming, wrangling, validating, developing pipelines for data.
Strong knowledge databases in general (specifically in Oracle and Microsoft SQL Server).
Knowledge of Snowflake or similar cloud data wareshouse.
Experience in: Python (data packages such as Pandas, PySpark, SQL Alchemy, pydantic, etc.) and SQL.
Comfortable working with technical resources to ensure financial reporting and infrastructure aligns with business logic.
2 years + experience with data warehouse integration and data engineering using real-time messaging, batch ETL/ELT, etc. in data management discipline
Ability to manage multiple priorities, adhere to project plans, and consistently meet project deliverables.

Competencies:
Demonstrates attention to detail
Innovative
Excellent verbal and written communication skills
Ability to learn database structures proactively
Ability to work well independently and in a team environment
Ability to prioritize and manage multiple simultaneous projects

Computer/Software Skills:
Familiarity with Oracle databases
Proficient in SQL
Proficient with Talend or similar ETL tools
Knowledge or previous experience using Tableau Prep

Deseret First Credit Union is proud to be an Equal Opportunity Employer, providing equal employment opportunities to all employees and applicants without regard to race, color, religion, sex, gender identity, age, national origin, disability veteran status, pregnancy, sexual orientation, or any other characteristic protected by law.",https://www.indeed.com/rc/clk?jk=99f0448a6ffa827f&fccid=81c9e7f0ff5e29fb&vjs=3,,entry
