,Element,Count,weightage
0,machine learning,134,1.0
1,python,134,1.0
2,data science,92,0.6842105263157895
3,it skills,43,0.3157894736842105
4,r,43,0.3157894736842105
5,deep learning,42,0.3082706766917293
6,data scientist,38,0.2781954887218045
7,cnn,30,0.21804511278195488
8,lstm,28,0.20300751879699247
9,data management,27,0.19548872180451127
10,artificial intelligence,27,0.19548872180451127
11,nlp,26,0.18796992481203006
12,sql,25,0.18045112781954886
13,text mining,23,0.16541353383458646
14,data analytics,23,0.16541353383458646
15,neural networks,22,0.15789473684210525
16,data mining,21,0.15037593984962405
17,pytorch,20,0.14285714285714285
18,analytical,19,0.13533834586466165
19,devops,18,0.12781954887218044
20,pandas,17,0.12030075187969924
21,azure iot,17,0.12030075187969924
22,tensorflow,16,0.11278195488721804
23,statistical analysis,16,0.11278195488721804
24,predictive modeling,16,0.11278195488721804
25,rcnns,15,0.10526315789473684
26,tableau,15,0.10526315789473684
27,rnn,14,0.09774436090225563
28,cicd,14,0.09774436090225563
29,data analysis,14,0.09774436090225563
30,natural language processing,13,0.09022556390977443
31,testing,13,0.09022556390977443
32,numpy,13,0.09022556390977443
33,azure,12,0.08270676691729323
34,project management,12,0.08270676691729323
35,logistic regression,11,0.07518796992481203
36,keras,11,0.07518796992481203
37,net core,11,0.07518796992481203
38,cloud,10,0.06766917293233082
39,statistical modeling,10,0.06766917293233082
40,time series analysis,10,0.06766917293233082
41,data modeling,10,0.06766917293233082
42,open source,9,0.06015037593984962
43,nltk,9,0.06015037593984962
44,communication,9,0.06015037593984962
45,training,9,0.06015037593984962
46,opencv,8,0.05263157894736842
47,computer science,8,0.05263157894736842
48,azure cloud,8,0.05263157894736842
49,agile,8,0.05263157894736842
50,big data,8,0.05263157894736842
51,aws,7,0.045112781954887216
52,data structures,7,0.045112781954887216
53,predictive analytics,7,0.045112781954887216
54,statistics,7,0.045112781954887216
55,investigation,6,0.03759398496240601
56,enterprise applications,6,0.03759398496240601
57,mysql,6,0.03759398496240601
58,oracle,6,0.03759398496240601
59,ai,6,0.03759398496240601
60,svm,6,0.03759398496240601
61,cloud computing,6,0.03759398496240601
62,java,6,0.03759398496240601
63,algorithms,5,0.03007518796992481
64,hadoop,5,0.03007518796992481
65,javascript,5,0.03007518796992481
66,sas,5,0.03007518796992481
67,software development lifecycle,5,0.03007518796992481
68,machine - learning,5,0.03007518796992481
69,analytics,5,0.03007518796992481
70,data collection,5,0.03007518796992481
71,coding,5,0.03007518796992481
72,hive,4,0.022556390977443608
73,model building,4,0.022556390977443608
74,advanced analytics,4,0.022556390977443608
75,r programming,4,0.022556390977443608
76,factor analysis,4,0.022556390977443608
77,image processing,4,0.022556390977443608
78,data processing,4,0.022556390977443608
79,computer vision,4,0.022556390977443608
80,github,4,0.022556390977443608
81,spark,4,0.022556390977443608
82,scipy,4,0.022556390977443608
83,anova,4,0.022556390977443608
84, keras,4,0.022556390977443608
85,random forest,4,0.022556390977443608
86,business intelligence,4,0.022556390977443608
87,bpo,4,0.022556390977443608
88,forecasting,4,0.022556390977443608
89,web analytics,4,0.022556390977443608
90,visualization,4,0.022556390977443608
91,sql queries,4,0.022556390977443608
92,html,4,0.022556390977443608
93,econometrics,4,0.022556390977443608
94,linear regression,4,0.022556390977443608
95,watson discovery,4,0.022556390977443608
96,waston assitance,4,0.022556390977443608
97,gru,3,0.015037593984962405
98,reinforcement learning,3,0.015037593984962405
99,bigdata,3,0.015037593984962405
100,hdfs,3,0.015037593984962405
101,maprdb,3,0.015037593984962405
102, bert,3,0.015037593984962405
103,hr,3,0.015037593984962405
104,mining,3,0.015037593984962405
105,unix,3,0.015037593984962405
106,tensrflow,3,0.015037593984962405
107,software development,3,0.015037593984962405
108,healthcare,3,0.015037593984962405
109, quantitative analyses,3,0.015037593984962405
110,algorithm development,3,0.015037593984962405
111,anomaly detection,3,0.015037593984962405
112,oops,3,0.015037593984962405
113,etl,3,0.015037593984962405
114,planning,3,0.015037593984962405
115,chaid,2,0.007518796992481203
116,derivatives,2,0.007518796992481203
117,time series forecasting,2,0.007518796992481203
118,probability,2,0.007518796992481203
119,data warehouse,2,0.007518796992481203
120,spacy,2,0.007518796992481203
121,data cleansing,2,0.007518796992481203
122,jupyter,2,0.007518796992481203
123,scrum,2,0.007518796992481203
124,ml,2,0.007518796992481203
125,intellectual property,2,0.007518796992481203
126,google cloud,2,0.007518796992481203
127,google cloud platform,2,0.007518796992481203
128,eda,2,0.007518796992481203
129,computer languages,2,0.007518796992481203
130,predictive analysis,2,0.007518796992481203
131,matplotlib,2,0.007518796992481203
132,verbal,2,0.007518796992481203
133,data engineering,2,0.007518796992481203
134,teradata,2,0.007518796992481203
135,teradata data science,2,0.007518796992481203
136,deep learning frameworks,2,0.007518796992481203
