,Element,Count,weightage
0,it skills,279,1.0
1,java,197,0.7050359712230215
2,testing,134,0.4784172661870504
3,javascript,124,0.44244604316546765
4,cloud,112,0.39928057553956836
5,software development,95,0.3381294964028777
6,linux,92,0.3273381294964029
7,python,88,0.3129496402877698
8,c++,83,0.2949640287769784
9,c,70,0.24820143884892087
10,debugging,70,0.24820143884892087
11,jquery,69,0.2446043165467626
12,azure,65,0.2302158273381295
13,agile,65,0.2302158273381295
14,communication,60,0.21223021582733814
15,c#,59,0.20863309352517986
16,aws,52,0.18345323741007194
17,git,49,0.17266187050359713
18,data structures,48,0.16906474820143885
19,j2ee,47,0.16546762589928057
20,html,44,0.15467625899280577
21,devops,41,0.14388489208633093
22,asp.net,40,0.14028776978417265
23,software engineering,38,0.13309352517985612
24,networking,37,0.12949640287769784
25,xml,35,0.1223021582733813
26,coding,35,0.1223021582733813
27,oracle,34,0.11870503597122302
28,troubleshooting,34,0.11870503597122302
29,automation,34,0.11870503597122302
30,sql server,33,0.11510791366906475
31,computer science,33,0.11510791366906475
32,sql,33,0.11510791366906475
33,mysql,32,0.11151079136690648
34,bootstrap,31,0.1079136690647482
35,jenkins,30,0.10431654676258993
36,embedded c,29,0.10071942446043165
37,big data,29,0.10071942446043165
38,core java,29,0.10071942446043165
39,forgerock openidm,27,0.09352517985611511
40,angular,27,0.09352517985611511
41,.net,26,0.08992805755395683
42,css,25,0.08633093525179857
43,verbal,25,0.08633093525179857
44,sap,24,0.08273381294964029
45,hibernate,23,0.07913669064748201
46,json,23,0.07913669064748201
47,written communication,21,0.07194244604316546
48,web services,21,0.07194244604316546
49,windows,21,0.07194244604316546
50,php,21,0.07194244604316546
51,oops,21,0.07194244604316546
52,spring boot,20,0.0683453237410072
53,rest,20,0.0683453237410072
54,jira,20,0.0683453237410072
55,design,20,0.0683453237410072
56,analytical,20,0.0683453237410072
57,qt,19,0.06474820143884892
58,performance tuning,19,0.06474820143884892
59,ms sql server,19,0.06474820143884892
60,software design,19,0.06474820143884892
61,backend,19,0.06474820143884892
62,scrum,19,0.06474820143884892
63,unix,19,0.06474820143884892
64,shell scripting,18,0.06115107913669065
65,rtos,18,0.06115107913669065
66,data science,17,0.05755395683453238
67,typescript,17,0.05755395683453238
68,react,17,0.05755395683453238
69,written,17,0.05755395683453238
70,asp net,16,0.0539568345323741
71,html5,16,0.0539568345323741
72,web api,16,0.0539568345323741
73,ms sql,16,0.0539568345323741
74,ethernet,16,0.0539568345323741
75,microservices,15,0.050359712230215826
76,machine learning,15,0.050359712230215826
77,soap,15,0.050359712230215826
78,intellij,15,0.050359712230215826
79,embedded software,14,0.046762589928057555
80,network security,14,0.046762589928057555
81,android,14,0.046762589928057555
82,waterfall,14,0.046762589928057555
83,node.js,14,0.046762589928057555
84,front end,14,0.046762589928057555
85,autosar,14,0.046762589928057555
86,programming,14,0.046762589928057555
87,unit testing,14,0.046762589928057555
88,css3,13,0.04316546762589928
89,svn,13,0.04316546762589928
90,swift,13,0.04316546762589928
91,react js,13,0.04316546762589928
92,application development,13,0.04316546762589928
93,tcp,13,0.04316546762589928
94,test cases,13,0.04316546762589928
95,ci / cd,12,0.039568345323741004
96,design patterns,12,0.039568345323741004
97,http,12,0.039568345323741004
98,product management,12,0.039568345323741004
99,.net core,12,0.039568345323741004
100,agile development,12,0.039568345323741004
101,mvc,12,0.039568345323741004
102,ios,12,0.039568345323741004
103,kubernetes,12,0.039568345323741004
104,web technologies,12,0.039568345323741004
105,perl,11,0.03597122302158273
106,software,11,0.03597122302158273
107,selenium,11,0.03597122302158273
108,sql queries,11,0.03597122302158273
109,bsw,11,0.03597122302158273
110,vectorcast,11,0.03597122302158273
111,telecom,11,0.03597122302158273
112,wireless,11,0.03597122302158273
113,springboot,11,0.03597122302158273
114,multithreading,11,0.03597122302158273
115,maven,11,0.03597122302158273
116,canoe,11,0.03597122302158273
117,spring,11,0.03597122302158273
118,pl/sql,10,0.03237410071942446
119,cloud computing,10,0.03237410071942446
120,atlassian confluence,10,0.03237410071942446
121,bss,10,0.03237410071942446
122,nodejs,10,0.03237410071942446
123,project management,10,0.03237410071942446
124,test driven development,10,0.03237410071942446
125,migration,10,0.03237410071942446
126,erp,10,0.03237410071942446
127,c#.net,10,0.03237410071942446
128,confluence,10,0.03237410071942446
129,consulting,10,0.03237410071942446
130,sap hana,9,0.02877697841726619
131,objective-c,9,0.02877697841726619
132,version control,9,0.02877697841726619
133,paas,9,0.02877697841726619
134,qml,9,0.02877697841726619
135,docker,9,0.02877697841726619
136,saml,9,0.02877697841726619
137,application programming,9,0.02877697841726619
138,.net framework,9,0.02877697841726619
139,cryptography,9,0.02877697841726619
140,microsoft sql server,9,0.02877697841726619
141,automapper,9,0.02877697841726619
142,castle windsor,9,0.02877697841726619
143,asp.net mvc 5.0,9,0.02877697841726619
144,postgresql,9,0.02877697841726619
145,eclipse,9,0.02877697841726619
146,openshift,8,0.025179856115107913
147,ios sdk,8,0.025179856115107913
148,apache camel,8,0.025179856115107913
149,apache kafka,8,0.025179856115107913
150,embedded software development,8,0.025179856115107913
151,junit,8,0.025179856115107913
152,cisco asa,8,0.025179856115107913
153,ajax,8,0.025179856115107913
154,architecture,8,0.025179856115107913
155,azure sql,8,0.025179856115107913
156,ui,8,0.025179856115107913
157,cisco ftd,8,0.025179856115107913
158,power bi,8,0.025179856115107913
159,testing tools,8,0.025179856115107913
160,powershell,8,0.025179856115107913
161,aws glue,8,0.025179856115107913
162,mobile development,8,0.025179856115107913
163,continuous integration,8,0.025179856115107913
164,linux kernel,8,0.025179856115107913
165,development,8,0.025179856115107913
166,api,8,0.025179856115107913
167,rdbms,8,0.025179856115107913
